dataset,p,k,feature_ratio,feature_pct,baseline_auc_mean,etree_auc_mean,stg_auc_mean,lspin_auc_mean,etree_auc_delta_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_accuracy_mean,etree_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,etree_accuracy_delta_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
SMK-CAN-187,19993,11996,0.6,60.0,0.7476315789473684,0.7523976608187135,0.7587719298245614,0.7454678362573098,0.004766081871344974,0.01114035087719294,-0.002163742690058523,0.6837837837837837,0.688904694167852,0.6834992887624467,0.6783783783783782,0.005120910384068278,-0.0002844950213371389,-0.005405405405405417
SMK-CAN-187,19993,9996,0.5,50.0,0.7476315789473684,0.7471637426900585,0.7524415204678363,0.7509649122807017,-0.00046783625730992815,0.004809941520467831,0.003333333333333277,0.6837837837837837,0.6944523470839261,0.7051209103840683,0.672972972972973,0.010668563300142254,0.021337126600284483,-0.010810810810810811
SMK-CAN-187,19993,7997,0.4,40.0,0.7476315789473684,0.7531286549707601,0.7509795321637427,0.7585964912280702,0.005497076023391756,0.0033479532163742665,0.010964912280701733,0.6837837837837837,0.6944523470839259,0.6944523470839261,0.6782361308677098,0.010668563300142231,0.010668563300142275,-0.0055476529160739755
SMK-CAN-187,19993,5998,0.3,30.0,0.7476315789473684,0.7544005847953217,0.7483771929824561,0.7448830409356726,0.006769005847953235,0.0007456140350876828,-0.0027485380116959225,0.6837837837837837,0.7051209103840683,0.6944523470839259,0.6783783783783784,0.021337126600284483,0.010668563300142231,-0.005405405405405394
SMK-CAN-187,19993,3999,0.2,20.0,0.7476315789473684,0.7517543859649123,0.7470467836257311,0.7617251461988305,0.004122807017543861,-0.0005847953216374435,0.014093567251461981,0.6837837837837837,0.699715504978663,0.6785206258890469,0.6891891891891891,0.015931721194879112,-0.0052631578947368585,0.005405405405405417
SMK-CAN-187,19993,1999,0.1,10.0,0.7476315789473684,0.7541520467836257,0.7461988304093566,0.7519736842105262,0.0065204678362572824,-0.001432748538011719,0.004342105263157836,0.6837837837837837,0.7103840682788052,0.672972972972973,0.715931721194879,0.02660028449502134,-0.010810810810810811,0.0321479374110953
SMK-CAN-187,19993,1000,0.05,5.0,0.7476315789473684,0.7608479532163742,0.7468713450292398,0.7534795321637426,0.013216374269005793,-0.0007602339181286943,0.005847953216374257,0.6837837837837837,0.7105263157894737,0.6943100995732575,0.6944523470839259,0.0267425320056899,0.010526315789473672,0.010668563300142254
colon,2000,2000,1.0,100.0,0.9349999999999999,0.9349999999999999,0.9349999999999999,0.9349999999999999,0.0,0.0,0.0,0.8051282051282052,0.8051282051282052,0.8051282051282052,0.8051282051282052,0.0,0.0,0.0
colon,2000,1800,0.9,90.0,0.9349999999999999,0.92875,0.9237500000000001,0.9275,-0.00625,-0.011250000000000005,-0.007499999999999995,0.8051282051282052,0.8384615384615385,0.8230769230769232,0.8205128205128205,0.033333333333333326,0.01794871794871795,0.015384615384615396
colon,2000,1600,0.8,80.0,0.9349999999999999,0.9175000000000001,0.92875,0.9181250000000001,-0.017500000000000005,-0.00625,-0.016874999999999994,0.8051282051282052,0.8064102564102564,0.8064102564102564,0.8051282051282052,0.0012820512820512996,0.0012820512820512775,0.0
colon,2000,1400,0.7,70.0,0.9349999999999999,0.9193749999999999,0.9099999999999999,0.8975,-0.015625,-0.025,-0.0375,0.8051282051282052,0.8064102564102564,0.8217948717948719,0.8051282051282052,0.0012820512820512996,0.016666666666666653,0.0
colon,2000,1200,0.6,60.0,0.9349999999999999,0.90625,0.9112500000000001,0.9193749999999999,-0.028749999999999987,-0.023750000000000004,-0.015625,0.8051282051282052,0.8064102564102564,0.8217948717948719,0.8371794871794872,0.0012820512820512996,0.016666666666666673,0.03205128205128205
colon,2000,1000,0.5,50.0,0.9349999999999999,0.91875,0.8975,0.8975,-0.016249999999999987,-0.0375,-0.0375,0.8051282051282052,0.8064102564102564,0.8064102564102564,0.8371794871794872,0.0012820512820512996,0.0012820512820512775,0.03205128205128207
colon,2000,800,0.4,40.0,0.9349999999999999,0.9125,0.9037499999999999,0.91625,-0.022499999999999985,-0.03125,-0.01875,0.8051282051282052,0.8230769230769232,0.8217948717948719,0.8538461538461538,0.01794871794871795,0.016666666666666653,0.048717948717948725
colon,2000,600,0.3,30.0,0.9349999999999999,0.9125,0.9337500000000001,0.9087500000000001,-0.022499999999999985,-0.0012499999999999955,-0.026249999999999996,0.8051282051282052,0.8064102564102564,0.8205128205128206,0.8371794871794872,0.0012820512820512996,0.015384615384615396,0.03205128205128205
colon,2000,400,0.2,20.0,0.9349999999999999,0.9075,0.89625,0.92875,-0.02749999999999997,-0.03874999999999999,-0.00625,0.8051282051282052,0.8230769230769232,0.8205128205128205,0.8525641025641025,0.01794871794871795,0.015384615384615396,0.04743589743589745
colon,2000,200,0.1,10.0,0.9349999999999999,0.9125,0.89875,0.9099999999999999,-0.022499999999999985,-0.036250000000000004,-0.025,0.8051282051282052,0.8230769230769232,0.8371794871794872,0.8384615384615385,0.01794871794871795,0.03205128205128207,0.033333333333333326
