dataset,fold,p,k,feature_ratio,feature_pct,baseline_train_auc,baseline_train_accuracy,baseline_auc,baseline_accuracy,stg_train_auc,stg_train_accuracy,stg_auc,stg_accuracy,lspin_train_auc,lspin_train_accuracy,lspin_auc,lspin_accuracy,stg_auc_delta,lspin_auc_delta,stg_accuracy_delta,lspin_accuracy_delta
madelon,1,500,200,0.4,40,1,1,0.7570118343195266,0.6884615384615385,1,1,0.8271597633136095,0.75,1,1,0.6837278106508876,0.6211538461538462,0.070147929,-0.073284024,0.061538462,-0.067307692
madelon,2,500,200,0.4,40,1,1,0.7416124260355029,0.6673076923076923,1,1,0.7666272189349113,0.6903846153846154,1,1,0.7269600591715976,0.6442307692307693,0.025014792899408334,-0.014652367,0.023076923076923106,-0.023076923
madelon,3,500,200,0.4,40,1,1,0.7916568047337278,0.7173076923076923,1,1,0.7968565088757397,0.7192307692307692,1,1,0.7965976331360947,0.7269230769230769,0.005199704,0.004940828,0.001923077,0.009615385
madelon,4,500,200,0.4,40,1,1,0.788017751,0.7288461538461538,1,1,0.8397115384615386,0.7576923076923077,1,1,0.7448224852071006,0.676923077,0.051693787,-0.043195266,0.028846153846153855,-0.051923077
madelon,5,500,200,0.4,40,1,1,0.7575221893491124,0.6942307692307692,1,1,0.8214423076923077,0.7365384615384616,1,1,0.7750887573964498,0.6865384615384615,0.063920118,0.017566568,0.042307692,-0.007692308
madelon,1,500,150,0.3,30,1,1,0.7570118343195266,0.6884615384615385,1,1,0.8451183431952662,0.775,1,1,0.735784024,0.6884615384615385,0.088106509,-0.021227811,0.086538462,0
madelon,2,500,150,0.3,30,1,1,0.7416124260355029,0.6673076923076923,1,1,0.7861168639053255,0.6942307692307692,1,1,0.7394156804733727,0.675,0.044504438,-0.002196746,0.026923077,0.007692308
madelon,3,500,150,0.3,30,1,1,0.7916568047337278,0.7173076923076923,1,1,0.8411834319526628,0.7596153846153846,1,1,0.7619008875739645,0.7,0.049526627,-0.029755917,0.042307692,-0.017307692
madelon,4,500,150,0.3,30,1,1,0.788017751,0.7288461538461538,1,1,0.854423077,0.7557692307692307,1,1,0.74375,0.6673076923076923,0.066405325,-0.044267751,0.026923077,-0.061538462
madelon,5,500,150,0.3,30,1,1,0.7575221893491124,0.6942307692307692,1,1,0.8363609467455622,0.7442307692307693,1,1,0.7133357988165681,0.6461538461538462,0.078838757,-0.044186391,0.050000000000000044,-0.048076923
madelon,1,500,100,0.2,20,1,1,0.7570118343195266,0.6884615384615385,1,1,0.8908431952662723,0.8288461538461539,1,1,0.7599260355029586,0.6961538461538461,0.13383136094674575,0.002914201,0.14038461538461544,0.007692308
