dataset,p,k,feature_ratio,feature_pct,baseline_train_auc_mean,stg_train_auc_mean,lspin_train_auc_mean,baseline_auc_mean,stg_auc_mean,lspin_auc_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_train_accuracy_mean,stg_train_accuracy_mean,lspin_train_accuracy_mean,baseline_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
colon,2000,400,0.2,20.0,1.0,1.0,1.0,0.9199999999999999,0.9075,0.91375,-0.012499999999999978,-0.006249999999999978,1.0,1.0,1.0,0.8538461538461538,0.8064102564102564,0.8217948717948719,-0.04743589743589742,-0.03205128205128207
colon,2000,200,0.1,10.0,1.0,1.0,1.0,0.9199999999999999,0.89,0.915,-0.02999999999999998,-0.004999999999999982,1.0,1.0,1.0,0.8538461538461538,0.8230769230769232,0.7897435897435897,-0.03076923076923077,-0.06410256410256412
colon,2000,100,0.05,5.0,1.0,1.0,1.0,0.9199999999999999,0.89625,0.8850000000000001,-0.023749999999999983,-0.03499999999999996,1.0,1.0,1.0,0.8538461538461538,0.8076923076923077,0.7897435897435898,-0.04615384615384617,-0.0641025641025641
leukemia,7070,7070,1.0,100.0,1.0,1.0,1.0,0.9800000000000001,0.9800000000000001,0.984,0.0,0.0040000000000000036,1.0,1.0,1.0,0.9733333333333334,0.959047619047619,0.9314285714285715,-0.01428571428571428,-0.04190476190476189
leukemia,7070,6363,0.9,90.0,1.0,1.0,1.0,0.9800000000000001,0.984,0.9800000000000001,0.0040000000000000036,0.0,1.0,1.0,1.0,0.9733333333333334,0.9447619047619048,0.959047619047619,-0.02857142857142856,-0.01428571428571428
leukemia,7070,5656,0.8,80.0,1.0,1.0,1.0,0.9800000000000001,0.9800000000000001,0.992,0.0,0.01200000000000001,1.0,1.0,1.0,0.9733333333333334,0.9304761904761906,0.9447619047619048,-0.04285714285714286,-0.02857142857142858
leukemia,7070,4949,0.7,70.0,1.0,1.0,1.0,0.9800000000000001,0.9879999999999999,0.984,0.007999999999999985,0.0040000000000000036,1.0,1.0,1.0,0.9733333333333334,0.9723809523809525,0.9580952380952381,-0.000952380952380949,-0.01523809523809525
leukemia,7070,4242,0.6,60.0,1.0,1.0,1.0,0.9800000000000001,0.9800000000000001,0.984,0.0,0.0040000000000000036,1.0,1.0,1.0,0.9733333333333334,0.9447619047619048,0.9161904761904763,-0.02857142857142856,-0.05714285714285714
leukemia,7070,3535,0.5,50.0,1.0,1.0,1.0,0.9800000000000001,0.9879999999999999,0.976,0.007999999999999985,-0.003999999999999981,1.0,1.0,1.0,0.9733333333333334,0.9161904761904763,0.9304761904761906,-0.05714285714285714,-0.04285714285714286
leukemia,7070,2828,0.4,40.0,1.0,1.0,1.0,0.9800000000000001,0.992,0.984,0.01200000000000001,0.0040000000000000036,1.0,1.0,1.0,0.9733333333333334,0.9314285714285715,0.9304761904761903,-0.04190476190476189,-0.04285714285714286
leukemia,7070,2121,0.3,30.0,1.0,1.0,1.0,0.9800000000000001,0.984,0.9800000000000001,0.0040000000000000036,0.0,1.0,1.0,1.0,0.9733333333333334,0.959047619047619,0.9447619047619048,-0.01428571428571428,-0.02857142857142858
leukemia,7070,1414,0.2,20.0,1.0,1.0,1.0,0.9800000000000001,0.9879999999999999,0.992,0.007999999999999985,0.01200000000000001,1.0,1.0,1.0,0.9733333333333334,0.9180952380952382,0.9314285714285713,-0.05523809523809522,-0.04190476190476191
leukemia,7070,707,0.1,10.0,1.0,1.0,1.0,0.9800000000000001,0.9960000000000001,0.9635555555555555,0.015999999999999993,-0.016444444444444463,1.0,1.0,1.0,0.9733333333333334,0.959047619047619,0.9028571428571428,-0.01428571428571428,-0.07047619047619047
leukemia,7070,354,0.05,5.0,1.0,1.0,1.0,0.9800000000000001,0.9960000000000001,0.9635555555555555,0.015999999999999993,-0.016444444444444463,1.0,1.0,1.0,0.9733333333333334,0.9314285714285715,0.9304761904761906,-0.04190476190476189,-0.04285714285714286
RELATHE,4322,4322,1.0,100.0,0.9752238369042778,0.9769937401135559,0.9755632818667477,0.9310567286792113,0.9287877787987432,0.9312003205436467,-0.0022689498804681517,0.00014359186443555494,0.8878731134240251,0.8919035902693893,0.8864699137850321,0.8387952398478713,0.8353011900380322,0.8388173230278493,-0.0034940498098392724,2.2083179977916422e-05
RELATHE,4322,3890,0.9,90.0,0.9752238369042778,0.9755763109593634,0.9749917864858217,0.9310567286792113,0.9301427393337486,0.9331235498716888,-0.0009139893454626291,0.002066821192477608,0.8878731134240251,0.8887467748050302,0.8887506120387837,0.8387952398478713,0.8381229297018772,0.8395288921604711,-0.0006723101459943593,0.0007336523125996752
RELATHE,4322,3458,0.8,80.0,0.9752238369042778,0.9757525740822579,0.975938898540646,0.9310567286792113,0.9278604527857803,0.9317015390435379,-0.0031962758934309444,0.0006448103643267977,0.8878731134240251,0.8847247398739239,0.893654903754503,0.8387952398478713,0.8360004907373328,0.8423089191510245,-0.002794749110538608,0.003513679303152983
