dataset,selector,algorithm,selection_value,k_features,epoch,split,train_loss
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,51,train,0.0496919713914394
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,52,train,0.0502576380968093
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,53,train,0.04835170134902
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,54,train,0.0506123192608356
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,55,train,0.0500913523137569
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,56,train,0.0509172230958938
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,57,train,0.0491908900439739
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,58,train,0.0487881302833557
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,59,train,0.0504032894968986
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,60,train,0.0499615482985973
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,61,train,0.0502431727945804
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,62,train,0.0518101006746292
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,63,train,0.0490050204098224
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,64,train,0.0485507808625698
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,65,train,0.0511408112943172
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,66,train,0.0502240397036075
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,67,train,0.0493705160915851
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,68,train,0.049764908850193
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,69,train,0.0494191497564315
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,70,train,0.0486350730061531
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,71,train,0.0473969392478466
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,72,train,0.0483095347881317
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,73,train,0.0497797913849353
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,74,train,0.0488514900207519
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,75,train,0.0503351129591465
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,76,train,0.0510156787931919
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,77,train,0.0500626489520072
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,78,train,0.0492404587566852
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,79,train,0.0512981712818145
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,80,train,0.0511596947908401
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,81,train,0.0477255694568157
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,82,train,0.0490366369485855
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,83,train,0.0470110513269901
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,84,train,0.0484711416065692
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,85,train,0.0473161377012729
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,86,train,0.048370111733675
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,87,train,0.0466161035001277
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,88,train,0.0489185713231563
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,89,train,0.0484985671937465
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,90,train,0.047341376543045
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,91,train,0.0484141297638416
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,92,train,0.0493048205971717
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,93,train,0.0477622337639331
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,94,train,0.0477352477610111
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,95,train,0.0450801588594913
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,96,train,0.0480559691786766
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,97,train,0.047354158014059
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,98,train,0.0483728013932704
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,99,train,0.049836840480566
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,100,train,0.0510029904544353
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,1,validation,0.0526083707809448
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,2,validation,0.0521209463477134
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,3,validation,0.0516134612262249
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,4,validation,0.0513018853962421
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,5,validation,0.0510556809604167
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,6,validation,0.0507675409317016
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,7,validation,0.0504534468054771
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,8,validation,0.0509372726082801
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,9,validation,0.0512792877852916
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,10,validation,0.051171850413084
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,11,validation,0.053429752588272
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,12,validation,0.0569680519402027
Breast,concrete_autoencoder,ConcreteAutoencoder,30,30,13,validation,0.0583475343883037
