dataset,fold,p,k,feature_ratio,feature_pct,baseline_train_auc,baseline_train_accuracy,baseline_auc,baseline_accuracy,stg_train_auc,stg_train_accuracy,stg_auc,stg_accuracy,lspin_train_auc,lspin_train_accuracy,lspin_auc,lspin_accuracy,stg_auc_delta,lspin_auc_delta,stg_accuracy_delta,lspin_accuracy_delta
RELATHE,4,4322,3890,0.9,90.0,0.9771492282046286,0.9001751313485113,0.935077519379845,0.8350877192982457,0.9745095674172768,0.8975481611208407,0.9370900417412046,0.8631578947368421,0.9728534006315392,0.8852889667250438,0.9321208507255019,0.8350877192982457,0.0020125223613596255,-0.0029566686543430754,0.028070175438596467,0.0
RELATHE,5,4322,3890,0.9,90.0,0.9755995693495693,0.8940455341506129,0.9356079404466501,0.8070175438596491,0.9775903994653995,0.9010507880910683,0.9227047146401985,0.8175438596491228,0.9745090213840214,0.8747810858143608,0.9303225806451613,0.8140350877192982,-0.012903225806451535,-0.005285359801488809,0.010526315789473717,0.007017543859649145
RELATHE,1,4322,3458,0.8,80.0,0.9734145404289867,0.8816827344434707,0.9244575936883629,0.8461538461538461,0.9752148961619266,0.8580192813321648,0.9253451676528599,0.8111888111888111,0.9732611538390029,0.8965819456617002,0.9134368836291913,0.8286713286713286,0.0008875739644970126,-0.011020710059171601,-0.034965034965035,-0.0174825174825175
RELATHE,2,4322,3458,0.8,80.0,0.9733122827023308,0.873794916739702,0.9457100591715977,0.8706293706293706,0.974398383708175,0.8992112182296231,0.9315335305719921,0.8671328671328671,0.9665942599329437,0.8755477651183172,0.9230769230769231,0.8356643356643356,-0.014176528599605609,-0.022633136094674544,-0.0034965034965035446,-0.034965034965035
RELATHE,3,4322,3458,0.8,80.0,0.9766435638358741,0.8896672504378283,0.9144305307096006,0.8350877192982457,0.9796017777117991,0.9054290718038529,0.9194742595905387,0.8385964912280702,0.9748714189839084,0.8922942206654991,0.917213277678394,0.8175438596491228,0.005043728880938181,0.002782746968793437,0.0035087719298245723,-0.01754385964912286
RELATHE,4,4322,3458,0.8,80.0,0.9771492282046286,0.9001751313485113,0.935077519379845,0.8350877192982457,0.9750863649999846,0.8992994746059545,0.9217352415026834,0.8385964912280702,0.976495111911102,0.8984238178633975,0.9411399324190022,0.8701754385964913,-0.013342277877161579,0.006062413039157222,0.0035087719298245723,0.03508771929824561
RELATHE,5,4322,3458,0.8,80.0,0.9755995693495693,0.8940455341506129,0.9356079404466501,0.8070175438596491,0.9742197554697555,0.9133099824868651,0.9188833746898263,0.8245614035087719,0.9735638798138798,0.8782837127845884,0.935682382133995,0.8210526315789474,-0.016724565756823795,7.444168734493939e-05,0.01754385964912286,0.01403508771929829
RELATHE,1,4322,3025,0.7,70.0,0.9734145404289867,0.8816827344434707,0.9244575936883629,0.8461538461538461,0.973743004641881,0.8431200701139352,0.9219921104536489,0.7867132867132867,0.9723997099599025,0.8799298860648553,0.9223619329388559,0.8181818181818182,-0.002465483234713961,-0.0020956607495069557,-0.05944055944055948,-0.027972027972027913
RELATHE,2,4322,3025,0.7,70.0,0.9733122827023308,0.873794916739702,0.9457100591715977,0.8706293706293706,0.9739970995990258,0.8869412795793163,0.9449211045364891,0.8636363636363636,0.9700942630316626,0.8939526730937774,0.9256163708086785,0.8636363636363636,-0.0007889546351085297,-0.020093688362919138,-0.006993006993006978,-0.006993006993006978
RELATHE,3,4322,3025,0.7,70.0,0.9766435638358741,0.8896672504378283,0.9144305307096006,0.8350877192982457,0.9765415031375934,0.8887915936952715,0.9123683164380839,0.8385964912280702,0.9805775398423316,0.9036777583187391,0.9158964420592328,0.8175438596491228,-0.002062214271516649,0.001465911349632254,0.0035087719298245723,-0.01754385964912286
RELATHE,4,4322,3025,0.7,70.0,0.9771492282046286,0.9001751313485113,0.935077519379845,0.8350877192982457,0.9784698317854128,0.9028021015761821,0.9339346054462334,0.8491228070175438,0.970249306451164,0.8992994746059545,0.9252633671238322,0.8491228070175438,-0.0011429139336115446,-0.009814152256012787,0.014035087719298178,0.014035087719298178
RELATHE,5,4322,3025,0.7,70.0,0.9755995693495693,0.8940455341506129,0.9356079404466501,0.8070175438596491,0.9755129442629442,0.8992994746059545,0.9306947890818859,0.8350877192982457,0.9739475051975052,0.9019264448336253,0.9303722084367246,0.8175438596491228,-0.004913151364764223,-0.005235732009925442,0.02807017543859658,0.010526315789473717
RELATHE,1,4322,2593,0.6,60.0,0.9734145404289867,0.8816827344434707,0.9244575936883629,0.8461538461538461,0.9685402554583935,0.8431200701139352,0.9194033530571992,0.8111888111888111,0.9737848373482402,0.9000876424189308,0.9271696252465483,0.8391608391608392,-0.0050542406311636645,0.002712031558185446,-0.034965034965035,-0.006993006993006978
RELATHE,2,4322,2593,0.6,60.0,0.9733122827023308,0.873794916739702,0.9457100591715977,0.8706293706293706,0.9697410090668518,0.8720420683610868,0.9236439842209073,0.8251748251748252,0.9768541185074091,0.9141104294478528,0.9396449704142011,0.8636363636363636,-0.02206607495069035,-0.006065088757396531,-0.045454545454545414,-0.006993006993006978
RELATHE,3,4322,2593,0.6,60.0,0.9766435638358741,0.8896672504378283,0.9144305307096006,0.8350877192982457,0.9764549061814763,0.8984238178633975,0.9114738620552575,0.8456140350877193,0.9739033887244578,0.8975481611208407,0.9133124627310674,0.8070175438596491,-0.0029566686543430754,-0.0011180679785331993,0.010526315789473606,-0.02807017543859658
RELATHE,4,4322,2593,0.6,60.0,0.9771492282046286,0.9001751313485113,0.935077519379845,0.8350877192982457,0.9766512957069559,0.8931698774080561,0.9370403498310476,0.8456140350877193,0.9723879419924104,0.9045534150612959,0.9179089644205923,0.8456140350877193,0.001962830451202602,-0.017168554959252624,0.010526315789473606,0.010526315789473606
RELATHE,5,4322,2593,0.6,60.0,0.9755995693495693,0.8940455341506129,0.9356079404466501,0.8070175438596491,0.9711956118206119,0.8896672504378283,0.9335732009925558,0.8350877192982457,0.9689433595683595,0.8940455341506129,0.9236476426799007,0.8245614035087719,-0.00203473945409427,-0.01196029776674934,0.02807017543859658,0.01754385964912286
RELATHE,1,4322,2161,0.5,50.0,0.9734145404289867,0.8816827344434707,0.9244575936883629,0.8461538461538461,0.9673302056929666,0.8553900087642419,0.9122534516765286,0.8286713286713286,0.9678771295946257,0.8869412795793163,0.9106262327416174,0.8356643356643356,-0.012204142011834285,-0.01383136094674553,-0.0174825174825175,-0.010489510489510523
