dataset,p,k,feature_ratio,feature_pct,baseline_train_auc_mean,stg_train_auc_mean,lspin_train_auc_mean,baseline_auc_mean,stg_auc_mean,lspin_auc_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_train_accuracy_mean,stg_train_accuracy_mean,lspin_train_accuracy_mean,baseline_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
colon,2000,1600,0.8,80.0,1.0,1.0,1.0,0.9199999999999999,0.9099999999999999,0.9075,-0.009999999999999986,-0.0125,1.0,1.0,1.0,0.8538461538461538,0.8051282051282052,0.8217948717948719,-0.048717948717948725,-0.03205128205128207
colon,2000,1400,0.7,70.0,1.0,1.0,1.0,0.9199999999999999,0.89,0.9099999999999999,-0.02999999999999998,-0.010000000000000009,1.0,1.0,1.0,0.8538461538461538,0.8217948717948719,0.8051282051282052,-0.03205128205128207,-0.048717948717948725
colon,2000,1200,0.6,60.0,1.0,1.0,1.0,0.9199999999999999,0.905,0.94625,-0.015000000000000013,0.026249999999999996,1.0,1.0,1.0,0.8538461538461538,0.8051282051282052,0.8205128205128205,-0.048717948717948725,-0.033333333333333326
colon,2000,1000,0.5,50.0,1.0,1.0,1.0,0.9199999999999999,0.90625,0.915,-0.013749999999999995,-0.0050000000000000044,1.0,1.0,1.0,0.8538461538461538,0.8384615384615385,0.8371794871794872,-0.015384615384615396,-0.016666666666666673
colon,2000,800,0.4,40.0,1.0,1.0,1.0,0.9199999999999999,0.925,0.9225,0.0050000000000000044,0.002499999999999991,1.0,1.0,1.0,0.8538461538461538,0.8064102564102564,0.8217948717948719,-0.04743589743589745,-0.03205128205128205
colon,2000,600,0.3,30.0,1.0,1.0,1.0,0.9199999999999999,0.9349999999999999,0.9112500000000001,0.01499999999999999,-0.008750000000000013,1.0,1.0,1.0,0.8538461538461538,0.8384615384615385,0.8051282051282052,-0.015384615384615396,-0.048717948717948725
colon,2000,400,0.2,20.0,1.0,1.0,1.0,0.9199999999999999,0.89,0.92875,-0.030000000000000006,0.00874999999999999,1.0,1.0,1.0,0.8538461538461538,0.8371794871794872,0.8525641025641025,-0.016666666666666653,-0.0012820512820512775
colon,2000,200,0.1,10.0,1.0,1.0,1.0,0.9199999999999999,0.89375,0.9012499999999999,-0.026249999999999996,-0.01875,1.0,1.0,1.0,0.8538461538461538,0.8217948717948719,0.8384615384615385,-0.03205128205128207,-0.015384615384615396
colon,2000,100,0.05,5.0,1.0,1.0,1.0,0.9199999999999999,0.8675,0.8625,-0.05249999999999999,-0.057499999999999996,1.0,1.0,1.0,0.8538461538461538,0.8051282051282052,0.8205128205128205,-0.048717948717948725,-0.033333333333333326
leukemia,7070,7070,1.0,100.0,1.0,1.0,1.0,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.0,0.0,1.0,1.0,1.0,0.9733333333333334,0.9447619047619048,0.9447619047619048,-0.02857142857142856,-0.02857142857142858
